stimppt,aqGroup,age,sex,aqScore,faceMasc,zfaceMasc,Rater3,Rater4,Rater5,Rater7,Rater8,Rater9,Rater11,Rater12,Rater13,Rater14,Rater15,Rater16,Rater17,Rater18,Rater19,Rater20,Rater21,Rater22,Rater23,Rater24,Rater25,Rater26,Rater27,Rater28,Rater29,Rater30,Rater31,Rater32,Rater33,Rater34,Rater35,Rater36,Rater37,Rater38,Rater39,Rater40,Rater41,Rater43,Rater44,Rater45,Rater47,aveRating
2027,2,18,2,18,-135.1669108,-0.737799097,0.3,3.5,4.1,5.2,5.6,1.4,5.6,5.2,6.5,0.7,3.8,7.3,2.4,7,4.7,5.7,5.6,4.5,6.3,1.7,3.1,1.4,4.8,5,4,4.5,7.8,3.8,3.5,3.7,3.1,2.5,3,0.7,6.3,2.8,4,3.4,4.6,5,4.4,4.109756098
2028,2,18,2,18,-88.82257955,-0.48507124,3.5,6.1,2.6,3.1,2.9,5,3.9,3.2,5.7,1.7,6,4.8,5.6,7.3,4.8,5.4,6,3.9,4.2,2,4.4,1.4,3.4,6.5,4.4,3.1,4,3.4,2,4.8,7.1,2.6,6.8,4.8,3.6,3.3,3.4,6.2,4,5.1,4.2,4.297560976
2029,3,19,2,24,-93.95506256,-0.513060023,0.4,4.4,6.1,0.2,2.3,2.8,4.4,1.8,3.9,5.7,6.3,6.4,3.9,6.4,5.1,4.2,1.1,4.2,4.1,6.2,3.6,0.6,4.5,4.5,4,6.5,4.8,5.2,5.5,5,2.5,2,4.8,3.1,4.3,4.2,6.5,6.6,4.1,3,1.9,4.075609756
2031,2,18,2,17,-283.8840686,-1.548792966,7.1,1.5,5.8,6,7,6.8,6.7,3.4,6.7,4.6,6.5,7.6,7.4,7.7,4.5,6.2,8.7,6.8,5.6,5.8,5.8,8.8,4.5,5.5,7.2,4,6.3,5.7,7,6.3,8.4,2,7,1.3,6.6,6,5.9,6,5.8,5.5,5.1,5.929268293
2032,2,24,2,18,-255.6940147,-1.39506517,4,5.8,3.9,3.9,4.1,7.2,8.1,6,3.7,4.4,7.8,7,5.8,9,4.6,8,2.4,7.1,6.2,5.9,5.7,6.6,4.6,5.5,4.5,8,5.9,4.7,8.5,5.4,8.1,7,5.7,6.7,6.2,4.5,6.9,5.6,4.7,5.5,4.3,5.841463415
2034,2,18,2,16,-276.464506,-1.508332135,2.9,0.8,3.9,5.6,3.6,4.3,7.7,3.9,4.6,4.7,7.8,5.7,7,7,5.2,6.3,3.8,5.5,3.6,5.2,6.1,7,5.6,6.5,4,3,5.7,3.7,4.5,3.5,3.2,4.4,3.3,5.8,1.2,5,7.6,5.8,4.4,5.1,2,4.792682927
2037,3,18,2,23,-31.01797439,-0.169847489,5.9,6.4,6.3,6.2,4.3,5.2,4.1,6,4.4,8.3,8.7,6.8,7,7.5,6.1,7,2.1,6.7,2.5,5.9,5.9,8.2,5.2,6,6.6,4.5,6,5.1,7.5,6.3,6,6,6.7,6.5,7,5.9,6.8,5.7,4.5,6,5.8,5.990243902
2038,3,18,2,23,-169.0001131,-0.922300469,6.7,1.8,7.4,7.9,6.6,5,7.7,5.4,7.3,8.2,3,6.3,5.5,5.9,5.8,7.7,4.5,6.7,7,7.3,5.9,6.9,7.5,6,6.5,7,4.2,6.3,8,7.6,5.6,8,4,9.1,7.6,7.3,6.8,6.6,7.3,6.5,5.9,6.446341463
2039,3,18,2,30,-28.22427808,-0.154612727,2.6,0.7,4.1,4.3,3.4,6.1,4.9,2.8,4.7,3.9,2.8,3.7,6.3,7.3,4.7,5.5,5.9,5.2,5.8,4.3,3.7,6.4,4.5,7,6.2,3,4.5,2.8,5.5,5.6,0.5,3.1,1.1,7.9,2.9,0,5,4.6,4.4,4.5,3.1,4.275609756
2041,3,18,2,22,-248.4933687,-1.355798149,2.3,3.5,2.1,3,4.3,5,6.4,5.6,5.7,4.8,3.8,4.8,3.7,7.6,5.5,3.6,6.4,4.7,2.4,6.1,2.2,5.4,5.4,5.5,5.2,5.5,3.8,3.1,6,3.2,6.4,4.1,2.4,1.9,3,3.7,3.7,6.3,4.4,5,5.4,4.46097561
2042,3,18,2,23,67.13233716,0.365392036,8.1,1.9,6.2,4.6,4.5,3.3,5.5,1,6.4,8.3,8.4,7,6.8,7.1,5.1,6.1,4.6,7.3,7.9,6.6,2.3,7.4,5.7,7.5,5.5,3.1,5.6,4.3,6,5,5.8,6.8,4,8.4,3.5,6.4,6.6,6.8,5.4,5.5,4.1,5.668292683
2044,1,18,2,4,-194.8311661,-1.063164011,6.8,6.6,6.8,6.3,7.2,6.8,9.2,6.7,9.1,8,9.1,7,6.8,9,7,7.7,7.2,7,5.8,7.1,8,8.5,7.3,7,6.2,6.4,4,5.3,7.5,7.8,7.1,7.2,7.7,9.4,7.7,6.6,9.8,6.6,7.1,7,7.1,7.280487805
2046,2,20,2,17,-173.3189862,-0.945852422,7.4,7.6,6.1,6.7,4.8,6.8,8.4,4.4,8.5,7.1,0,5.4,5.6,7.9,6.5,6.8,6.3,8,8.3,7.8,3.7,7.1,5.3,6.5,6.2,5.5,4,6.8,7,5.8,7.1,6.5,5.7,5.6,4,5.2,8,8.2,4.7,6,8.1,6.27804878
2047,1,18,2,9,-307.3805078,-1.676925243,3.5,7,5.7,5.4,6.5,6.9,6.2,8.2,5.5,3.2,9.3,6.3,6.7,7,5.2,7.5,6.4,6.5,1.4,5.9,5,7,5.7,6,5.5,4.4,5.2,4.5,6.5,5.5,7.3,4.1,6.3,4.1,4,4.3,6.7,3.8,6.3,5.5,5.6,5.697560976
2048,2,19,2,16,-295.0498307,-1.60968281,6.2,6.9,5.7,6.1,4.3,6.2,7.1,5.6,5.5,3.7,2.1,6.4,7.5,6.8,5.5,4,6.9,6.9,6.8,5.8,5,6.3,5.7,5.5,6.6,7.5,6.5,4.7,6,5.4,2.3,6.6,3.7,7.8,6.3,5.2,6.6,5.5,6.7,5.5,5.2,5.770731707
2053,1,18,2,6,-295.003078,-1.609427855,7.2,4.1,7.3,5.9,8.6,6.7,5.7,4.3,7,5.7,4.4,6.1,6.5,7.5,4.7,6.9,4.2,6.9,2.4,7.1,5.2,6.8,5.6,6.5,6.5,6.3,6.6,4.2,4,5.9,6.7,6,6.7,2.4,5.6,6.1,5,4.4,5.6,5.5,5.9,5.773170732
2054,3,19,2,27,-81.18629437,-0.443428564,3.8,5.7,6.5,6.4,7.3,4.6,8.4,5.3,8,5.1,4.7,7.5,4.1,9.1,5.4,6.6,9,7.5,7.4,7.9,5.6,8.6,3.8,5.5,7.3,4.5,4.2,5.9,6,7.2,7,8,7.4,7.9,6.9,2.9,6,6.3,5.1,5.5,6.7,6.307317073
2056,2,20,2,16,-201.9663584,-1.102074096,3.6,0.8,7.4,2.8,5.4,4.5,5.1,6.2,8.1,2.8,6,6.8,3.6,6.3,3.9,3.1,3.5,5.8,3.6,5.3,7.1,5.5,4.6,5.5,5,4.3,6.2,3.4,5,4.5,8.1,3.1,6.9,5.8,6.1,4.2,5,5.7,2,5,6.2,4.970731707
2059,2,18,2,18,32.03174886,0.173979274,0.1,4.1,3.8,1,3.1,0.3,2.7,2.4,3.6,4.6,0,5.4,3.1,3.5,4.1,2.4,0.2,4.2,4,3.6,3.9,1,5.5,3,3.7,4,5.9,1.1,6,1.9,1.9,0.5,3.2,2.9,3,0,2.2,5.6,1.5,2,2.5,2.865853659
2060,1,18,2,6,-28.04659381,-0.153643767,0,0,1.2,0.6,3.8,0.7,1.7,0.4,0,1.4,0.1,3.3,2.1,6,3.9,2.6,0,3.2,1.3,4,3,1.5,4.7,4.5,5,1.7,0.1,1.3,3,3.4,3.7,3.5,1.9,2.7,2.9,0.7,0.1,3.5,1.1,0,0.6,2.07804878
2061,2,18,2,16,-53.86545851,-0.294440843,6.2,1.7,3.7,6.6,3.9,5.1,5.7,4.4,3.3,4.1,3.7,6.6,6.3,5.1,4.7,4.4,4.6,4.5,4,4.8,5.9,5.9,5.5,4.5,5,3.1,5.3,3.3,6.5,4.8,4.1,4,3.3,6.2,6.1,5,3.3,4.8,4.2,5.1,4.5,4.726829268
2062,1,18,2,9,-168.3389797,-0.918695134,5.6,9.9,7.2,7.5,3.7,6.5,7.9,5.6,5.7,5.3,7.4,7.2,7.6,8.3,4.7,6.8,2.9,6.5,6.7,5.5,5.8,6.7,5.4,5.5,6,6,5.5,5.4,7,5.7,6.9,8,6.2,6.1,6.3,5.9,3.5,4.5,6.9,6.5,6.9,6.224390244
2064,2,19,2,18,-171.4508036,-0.93566473,7.7,6.8,6.9,4.6,6.5,6.6,7.1,3.8,6.6,5.4,7.5,6.5,6.6,7.1,5.5,5.4,4.4,6.2,7.9,5.9,6.2,7.7,4.7,6,6,5.5,6.6,5.6,6,5.7,7.2,5.9,6.1,7.5,6.6,5,7.9,8.8,5.5,5.5,6.7,6.285365854
2067,2,25,2,17,-15.44790006,-0.084939769,6.6,1.6,4.3,3.8,7.9,7.7,6.4,4.7,5.6,7.4,8,7.2,7.6,5.1,5.8,3.1,5.4,6.1,9.4,7.8,6.2,5.3,5.8,7.5,7,6.6,6.6,5.4,7,6,8.4,8.5,7.3,7.6,6.1,3.5,9.1,8.7,8.5,6,6.9,6.475609756
2071,1,19,2,10,-302.9039585,-1.65251344,1.1,8,3.4,5.1,5.9,5.6,5.3,6.8,5.7,5.1,9.6,6.8,5.2,6.4,5.3,7.5,0.5,4.6,5.5,6.8,3.4,7.1,6.3,4.5,5.5,4,4.3,6.2,4.5,4.4,8.2,2,5.3,9.9,6.1,2.5,7.5,5.8,2.4,4.5,5.8,5.375609756
2073,1,19,2,5,27.06677464,0.146903961,8.3,3,4.2,7,3.6,9.3,6.6,6.9,7.7,6.7,7.3,7.7,7.3,7.4,5.6,6.8,7.9,7.6,6.5,7.6,7.5,7.8,6.8,8,6.7,8,6.3,5.3,5.5,5.6,10,8,7.5,7.1,5.8,6,8.6,9.6,4.4,5.2,5.5,6.834146341
2085,2,19,2,16,-57.89692352,-0.316425485,0.8,6.3,7.2,6,7.1,2.2,7.3,3.2,5.9,6.3,7,5.9,5.3,5.9,5.8,5.4,4.3,5.3,5.8,6,4.3,6.7,4.9,4.5,6.6,4.5,5.5,4.4,3,4,3.9,6,3.6,1.1,4.1,5.3,4,3.7,4.7,5,3.9,4.943902439
2087,2,19,2,18,-157.6490287,-0.860400013,8.5,3.3,3.4,2,3.1,5.3,6,7.3,7.1,6.6,6.3,5.4,6.1,8.3,5.1,6.9,6.4,6,6,5.6,7.4,6.7,5.3,5.5,7,5.5,4.2,4.8,7,8.5,5.7,7.2,4.1,7.7,4,5.5,6.3,5.5,3.9,6,6.7,5.834146341
2089,1,18,2,9,-191.5605835,-1.045328662,5.8,6.2,3.3,6,6.7,3.2,6.7,5.7,5.8,3.8,2.6,6.4,6.6,7,4.7,5.7,6.3,5.2,8.3,4.7,6.5,6.2,5.2,6,5.5,4,3.3,4.3,7,3.9,2,9.2,1.4,7.8,6.2,5,4,6.3,5.6,5.5,3.9,5.353658537
2090,2,18,2,16,-279.0398489,-1.522376159,4.1,4.1,6.6,4.7,4,3.4,6.3,3.6,6.3,3.6,6.3,6.5,5.9,6.6,5.4,6.4,5.5,5.5,1.3,5.8,6.7,6.5,4.7,6.5,4.7,5,5.7,4.1,7,5.4,5,5.8,7.1,1.5,4.4,6.4,7.5,5.5,5.4,6.5,4.4,5.309756098
2091,3,18,2,25,-125.2304264,-0.683612828,6,9.3,6.2,5.5,3.5,2.4,6.3,5.8,4.1,5.3,3.4,6.4,4.5,7.9,4.4,6.1,3.8,6.5,3.3,5.8,4.6,5.4,4.6,6,4.3,3.5,5.8,3.8,2.5,4.6,5,3.6,4.7,5.9,6.6,4.1,5,5.5,4.4,6,2.2,4.990243902
2092,3,19,2,26,-245.9717253,-1.342046963,8.8,6.4,6.4,7.3,6.8,8.8,8.2,8.1,8.9,6.3,9.7,6.3,8.3,8.5,6.5,7.5,8.2,7,6.4,8.6,7.2,7.2,6.1,6,7.1,9,6.2,8.3,8.5,8.2,8.7,8,8.7,8.9,8,5.6,7.2,7.2,7.5,6,7.2,7.556097561
2093,1,18,2,9,-52.39561694,-0.28642541,4.2,7.1,6,5.2,3.8,5.3,3.5,5,6.7,5.2,0.6,5.4,5.9,6.5,4.7,6.8,1.7,6.1,1.6,5.4,4.4,0.4,5.7,5.5,5,3.9,6.2,4.7,3,2.3,3.3,5.8,2.1,2.1,6.5,2.9,3.1,4.4,5.5,4.5,3.1,4.417073171
2099,3,19,2,22,-181.4303861,-0.990086025,3.5,1.4,4.1,2.9,4.6,1.1,4.7,4.5,4.5,2.2,4.1,6.8,6.2,7.8,4.7,6.8,4.5,5.8,3.7,1.5,2.9,5.5,4.2,6,5.5,3,4.2,4.6,6.5,5,1.9,7.5,6.1,3.8,3.4,2.1,5.7,4.2,3.9,5.1,2.6,4.368292683
3002,2,19,2,18,-157.0738745,-0.857263545,5.9,5.8,4.3,6.2,6.1,8.8,7.5,5.8,6.4,4.8,4.6,5.8,6.8,9.5,5.6,5.4,6.3,7.5,7.1,6.9,7.8,7.6,5.8,6,5.9,2.5,6.3,4.2,6.5,6,4.3,7.4,7.4,9.4,6.9,2.7,5.6,6.3,4.2,4,5.7,6.087804878
3004,2,18,2,18,6.918615778,0.037030739,3.7,3.5,4.2,6.1,6,8.5,6.8,6.4,3.9,4.5,7,8.3,7.4,7.6,6.3,8.2,6.5,7.4,4.3,7.7,5.5,5.9,6.9,7.5,5,5.6,5.1,5.3,4,4.9,8.2,6.5,7.3,8,7.3,6.8,7.1,5.6,7.3,6,4.2,6.202439024
3005,1,18,2,9,-32.5842736,-0.178388932,6.2,0.5,6.3,2.7,6.8,7.5,5.9,7.8,7.8,7.6,9.4,7.1,7.1,6.5,5.9,6.8,5.5,6.4,4,6.5,6.2,8.4,5.3,5.5,6,4.7,5.3,5.6,5.5,5.8,5.5,8.7,6.5,2.5,7.1,5,4.2,4.4,6,5.5,7,5.975609756
3006,3,19,2,28,-59.30450753,-0.324101412,3.9,1.7,3.7,0.8,3.6,0.4,5.2,3.6,1.6,1,6.9,6.5,4,5.1,4.4,3,0.1,2.4,2.3,3.8,3.3,3.8,3.3,4,5,1.5,7,1.7,4,0.5,6.7,4.6,5.3,3.4,4.2,1.2,0.5,3.6,3,5,1.8,3.351219512
3010,2,18,2,18,-63.05835599,-0.344572137,4.1,3.8,2.9,1,3.4,3.8,3.6,5,7,4.9,2.8,5.5,2.9,6.7,4.3,3.8,6.3,4.3,5.8,4.7,2.7,4.7,3.5,3,3.7,2,4.1,3.6,3.5,4.3,3.7,7,3.6,2.4,3.8,3.3,4.3,4,2.7,5,3.9,4.034146341
3013,3,18,2,23,-15.31338998,-0.08420625,6.3,1.4,2.1,4.1,2.8,1.2,4,1.7,3.9,6.6,4.5,4.3,2.6,5.4,3.4,3.6,0,4.4,0.3,3.3,4.3,1.5,2.4,4.5,3.5,4.5,4,1.7,1,1.2,2.6,4.7,1.7,0,0.9,0,4.7,4,3.7,0,5.3,2.97804878
3018,1,18,2,4,-126.6152545,-0.691164661,6.5,3.8,5.8,7.3,6,9.2,8.5,7,7.5,7.4,6.7,6,6.5,8.5,6.2,4.4,6.8,7,5.8,7.4,6.2,6.5,7.7,5,6.4,8,4.2,5.7,4,7,8.6,7.5,6.9,8.9,5.9,4.5,7.1,7.3,5.2,5.5,6.2,6.551219512
3020,1,18,2,3,-200.3879772,-1.093466767,8.1,8.3,6.2,7.9,7.1,4,7.8,7,6.9,8.2,9.4,7.2,6.3,8.7,5.5,7.2,9.6,6.7,7.7,7.6,7.1,8.8,5.6,7,6,5.5,4.2,7.5,8,5.9,8.2,7,6.4,5.8,5.6,6.5,8.3,6.9,6.7,7,7.7,7.051219512
3021,3,19,2,23,36.0476681,0.19587914,0.2,6.6,3.3,4.7,3.5,0.8,5.3,1.6,3.2,4.9,4.1,4.4,2.3,5.1,4.4,2.5,5.7,4.3,1.2,2.4,5.6,0.5,4,4.5,6,1.2,6.2,3.5,4.5,3.6,0,7.5,6.9,2.8,2.8,0,3.2,2.7,3.5,4,1.9,3.546341463
4001,3,22,2,31,9.332067339,0.050191926,1.1,0,1.3,2.2,3.7,2.2,3,5.7,1.4,4.8,7.4,4.2,2.3,5.2,5.3,3,1.2,5.5,1.5,0.2,2.7,1.1,6.4,4.5,3.8,2,0,0.5,2,0.7,0.6,3.4,0.7,7.4,5.8,3.3,0.3,3,2.6,3,0.7,2.82195122
4006,2,19,2,17,-165.0164625,-0.900576572,3.4,1,3.2,3.6,3.7,2.1,5.8,3.4,2.6,2.9,3.7,3.9,4.3,6.3,4.6,3.7,2.4,3.7,3.8,6.1,4.7,5.3,3.4,4.5,4,1.8,4,2.5,1.5,1.3,3.9,5.5,1.9,7.4,7,3.6,3.7,1.1,3.1,3.5,6.1,3.756097561
4016,2,18,2,18,14.00899789,0.075696462,1.9,3.3,0.2,5.7,2.3,4.6,2.6,3.3,2.8,2.1,1.1,3.3,2,5,4.6,2.5,0.7,3.2,0,1.2,2.6,2.8,4.6,6.5,3.8,1.6,6.3,4.2,2.5,0.9,1,1.5,0.2,2.5,1.4,2.2,3.3,3.7,5.4,4,0.4,2.775609756
4020,3,21,2,24,-274.3762025,-1.496944065,2.1,2.6,3.6,7.2,3,4.7,6.9,3,5.8,4.7,7.7,5.4,5.9,6.2,4.7,4.2,3,3.8,1.7,4.1,3,6.2,3.7,5.5,5,4.5,6.1,3.8,6.5,4.2,4.6,8,1.2,0,3.4,1.4,4,6,2.9,5.5,4.6,4.4
4021,1,18,2,9,108.5237235,0.591110178,0,0.2,3.6,1.9,2.4,0.5,1.9,0.1,1.6,0.2,1.1,3.8,2.6,6,4.1,2.2,5.1,3.2,0.1,0.5,4.2,0.4,5.5,2.5,3,0.5,3.2,2.3,2,0,0,5.3,0.7,1.5,5.5,0.4,0.2,4.3,1,1.5,1.5,2.112195122
4024,3,22,2,23,-118.5088383,-0.646958236,5.7,0.8,5.5,4.9,5.4,5,7.6,5.8,6.5,4.6,6.7,7.5,6.6,6.4,5.6,6.7,3.6,6.3,6.1,6.2,7.7,8.7,7.3,7.5,5.2,6,7.4,4.5,5.5,7.2,7.5,5.6,6.8,7.4,6.4,5,6,3.6,5.5,6,5.5,5.995121951
4025,3,19,2,28,-120.7497048,-0.659178272,5.4,1.6,7.6,6.4,6.5,5.8,6.7,7.2,6.4,8.3,6.5,6.5,6.6,5.5,5.2,6.6,4.3,6.2,8.6,3.5,3.3,6.9,5.8,5.5,6.1,4.7,5.6,4.6,7,4.4,2.8,5.7,8,3.7,7,5,7.5,5.6,3.5,6,6.5,5.770731707
5002,2,18,2,16,-121.4075873,-0.662765878,1.4,0.4,3.9,4,3.2,1.6,4.2,6,4.3,5.2,2,5.5,6.6,5.8,4.4,2.9,3.6,3.9,6,5.9,6.2,5.8,4.1,6.5,5.1,5.5,3.5,3.8,5.7,5.7,2.3,3.6,4.4,5.8,3.3,0.7,1.4,5.4,5.3,4,3.7,4.209756098
